100,Avengers:Endgame,182,Accion,4,0
101,The Lord of the Rings: The Fellowship of the Ring,178,Accion,4.4,4
102,Whisper of the Heart,111,Drama,4.3,0
103,TENET,178,Accion ,4.5,0
104,Dead Poets Society,129,Drama,4.3,1
105,Your Name,106,Drama,5,0
106,Kidnap,95,Drama,3,0
107,Star Wars: The Revenge of the Sith,139,Accion,4,0
108,Bohemian Rhapsody,133,Drama,4.5,4
109,The Godfather,175,Drama,4.6,3
110,Star Wars: Rogue One,133,Accion,4.3,0
111,Toy Story 3,135,Drama,4.1,2
112,Parasite,132,Drama,4.3,4
113,Little Women,134,Drama,4.3,1
114,Clueless,100,Drama,4.1,0
115,Hacksaw Ridge,139,Accion,4.1,2
116,The Shawshank Redemption,142,Drama,4.5,0
117,Rubber,82,Misterio,2.9,0
118,Legally Blonde,196,Drama,4.7,0
119,Radio Rebel,85,Drama,3.9,0